1.1	Азота неорганические соединения (в том числе азота оксидыО, азота диоксидО)
1.10	Гидразин и его производные: фенилгидразин гидрохлорид, борингидразин, диметилгидразин (гептил)К
1.11	Дибензодиоксины полихлорированные (ПХДД), дибензофураны полихлорированные, 2,3,4,7,8-пентахлордибензофуран, бифенилы полибромированные и полихлорированныеК, 2,3,7,8-тетрахлордибензо-пара-диоксинК, 3,3‘4,4‘,5-пентахлорбифенил (ПХБ-126)К, диметилкарбамоилхлоридК
1.12	Кадмий и его соединенияК кадмий ртуть теллур (твердый раствор)К, октадеканоат кадмияК
1.13	Карбонилы металлов, в том числе железо пентакарбонил, кобальт гидридотетракарбонилАО
1.14	Кетоны, в том числе:
1.14.1	Кетоны алифатические, ароматические 1-фенилэтанон (ацетофенон), пентан-2-он (метилэтилкетон)
1.14.2	Пропан-2-онР (ацетон)
1.15	Кислоты органические: метановая (муравьиная), этановая (уксусная), бутановая (масляная), пропионовая, 1- метилбутановая (изовалериановая), этадионовая кислота дигидрат (щавелевая), 4-метилпентановая (изокапроновая), проп-2-еновая (акриловая), бензойная и прочие; синтетические жирные кислоты; в том числе:
1.15.1	Бензол-1,3-дикарбоноваяА (изофталевая) и бензол-1,4-дикарбоноваяА (терефталевая) кислоты
1.16	Кремния органические соединенияА (силаны), в том числе трихлор(хлорметил) силан, фенилтрихлорсилан, трихлорсилан
1.17	МарганецР и его соединения, в том числе марганец карбонат гидратАР, марганец нитрат гексагидратАР, марганец сульфат пентагидратА, марганец трикарбонилциклопентадиенР
1.18.1	Медь и ее соединения
1.18.2	ЗолотоА и его соединения
1.18.3	СереброР и его соединения
1.19.1	Натрий, калий, литий, рубидий, цезий, цезиевая соль хлорированного бис дикарбонил кобальта и прочие; кальций, магний, стронций, барий, магнид медиФ, магний додекаборид; лантан, иттрий, скандий, церий и их соединения
1.19.2	КобальтА, молибден, вольфрамФ, танталФ, ниобийФ и их соединения
1.19.3	Ванадий, европий, иттрий, оксид фосфат (люминофор Л-43 (ванадат иттрия фосфат)Р
1.2	Азотсодержащие органические соединения (в том числе амины, амиды, анилиды, гидразин и его производные, нитросоединения и прочие производные: NN-диметилацетамидР, NN-диметилформамидР, капролактамАР (гексагидро-2Н-азепин-2-он)
1.20	РтутьР и ее соединения: ртутьР; металлоорганические соединения (ртуть неорганические соединения и прочие); органические соединения ртути
1.21	Мышьяк и его неорганическиеКР и органические соединения
1.22	Никель и его соединенияАК, гептаникель гексасульфидАК, никель тетракарбонилАКО, никель хром гексагидрофосфатАК, никеля солиАК
1.23	ОзонО
1.24	Оксиды органические и перекиси: эпоксиэтанКР (этилена оксид), 1,2-эпоксипропанК (пропилена оксид), (хлорметил) оксиранАК (эпихлоргидрин)
1.25	Олово и его соединения
1.26	Платиновые металлы и их соединения: рутений, родий, палладийА, диАммоний дихлорпалладийА, осмий, иридий, платина, диАммоний гексахлорплатинатА
1.27	Свинец, в том числе:
1.27.1	Свинец и его неорганические соединенияРК
1.27.2	Свинца органические соединения: тетраэтилсвинецО, 1,4-дигидрооксибензол свинец аддукт
1.28	Селен, теллур и их соединения
1.29	Серы соединения, в том числе:
1.29.1	Серы оксиды, кислоты
1.29.2	Дигидросульфид (сероводород)О, дигидросульфидО (сероводород) смесь с углеводородами
1.29.3	Углерод дисульфидР (сероуглерод)
1.29.4	Серусодержащие органические соединения: тиолы (меркаптаны), тиоамиды: метантиол (метилмеркаптан), этантиол (этилмеркаптан)
1.29.5	ТетраметилтиопероксидикарбондиамидА (тиурам Д)
1.3	Альдегиды алифатические (предельные и непредельные) и ароматические (формальдегидАКРО, ацетальдегид, проп-2-ен-1-аль (акролеин), бензальдегид, бензол-1,2-дикарбальдегид (фталевый альдегид)
1.30	Спирты, в том числе:
